Age,Marital_Status,Dependents,Employment_Status,Residential_Status,Credit_Score,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Bank_Account_History,Debt_to_Income_Ratio,Expense_to_Income_Ratio,Average_Length
25,0.0,2,0,0,743,10942,19822,0,8,0.141685906462427,0.21726792517565993,0.0
36,0.0,2,0,0,468,48731,18321,0,9,0.8657499291182308,2.291465834987241,9.0
43,1.0,0,1,0,389,6925,13851,0,7,0.4979687219126371,1.489699802264965,3.5
28,0.0,0,1,1,778,42016,28608,1,9,0.2075254074992927,0.2378185458423103,0.0
32,1.0,0,0,1,752,31747,8780,1,1,0.10739667045857644,0.24189937983927196,0.5
49,1.0,2,0,0,793,2635,4453,0,4,0.029811477385319873,0.23908095225343437,0.0
41,0.0,0,0,0,707,15843,28872,0,2,0.23422517158015999,0.10883779793292554,0.0
52,1.0,2,0,0,349,12436,29440,0,4,0.4915760824191421,0.9261133096228021,2.0
27,1.0,1,1,1,803,9919,13940,0,4,0.11461365168631707,0.24774308124907504,0.0
61,1.0,3,0,0,599,4325,19381,0,4,0.5056352726324028,1.416018784242108,2.0
32,0.0,3,1,1,772,28940,22104,0,6,0.40431680995061275,1.0906895920980428,6.0
38,0.0,2,0,1,311,4949,24498,0,7,0.5399841297831071,0.46182331158525836,3.5
54,0.0,3,0,0,332,40843,9411,0,9,0.2390884609521874,0.7725217214572431,4.5
39,1.0,2,1,1,789,27122,1043,0,3,0.009092811186860322,0.4074765051523024,0.0
32,0.0,0,0,0,756,43969,14421,0,5,0.1718053801615478,0.4923634110891372,5.0
37,1.0,2,0,0,826,46817,24028,0,5,0.19053811872551663,0.2927061361077189,0.0
46,1.0,0,1,1,745,16401,28232,1,9,0.19913102358650264,0.24435729601625097,9.0
30,1.0,0,0,2,821,39869,21641,0,0,0.29488472229792334,0.16743881833542268,0.0
47,0.0,2,0,0,806,26560,6546,0,3,0.048007392522404914,0.3258870293500741,3.0
34,0.0,2,0,1,843,9826,19231,0,1,0.19462998947453647,0.36130677677920814,0.0
25,0.0,1,0,1,752,3851,29337,0,6,0.38513646567681464,0.20842030640778228,3.0
33,1.0,0,0,1,815,19895,24735,0,3,0.22018961143009746,0.2815863266123648,1.5
29,0.0,2,0,0,748,2901,16499,0,3,0.27694037867597693,0.39599838861286424,1.5
48,0.0,1,1,0,808,38696,4475,0,0,0.05895760322521146,0.6975310268504124,0.0
36,0.0,0,2,0,808,19161,10197,0,4,0.13394194141599894,0.5972415604886379,0.0
62,1.0,3,0,0,444,49345,1466,1,8,0.057463154593916585,1.616650987770461,8.0
30,0.0,3,0,0,794,2841,19771,0,7,0.23692882907713878,0.5302048006519108,3.5
40,1.0,0,0,0,741,34053,3495,0,8,0.0472533564079337,0.7612454876086692,8.0
36,1.0,1,1,1,784,41825,1942,0,5,0.015197045105956741,0.41731617992299747,0.0
46,0.0,1,1,0,839,47381,1269,1,7,0.012108085414957158,0.569280384710799,3.5
28,0.0,2,0,1,742,23309,13179,1,8,0.19399997055922746,0.281571548437431,0.0
