Age,Marital_Status,Dependents,Employment_Status,Residential_Status,Annual_Income,Monthly_Expenses,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Bank_Account_History,Transaction_Frequency
25,0,2,0,0,139901,2533,0,10942,19822,0,8,20
36,0,2,0,0,21162,4041,1,48731,18321,0,9,9
43,1,0,1,0,27815,3453,2,6925,13851,0,7,27
28,0,0,1,1,137853,2732,0,42016,28608,1,9,16
32,1,0,0,1,81753,1648,2,31747,8780,1,1,17
49,1,2,0,0,149372,2976,0,2635,4453,0,4,14
41,0,0,0,0,123266,1118,0,15843,28872,0,2,13
52,1,2,0,0,59889,4622,2,12436,29440,0,4,21
27,1,1,1,1,121626,2511,0,9919,13940,0,4,18
61,1,3,0,0,38330,4523,2,4325,19381,0,4,19
32,0,3,1,1,54670,4969,1,28940,22104,0,6,8
38,0,2,0,1,45368,1746,2,4949,24498,0,7,7
54,0,3,0,0,39362,2534,2,40843,9411,0,9,5
39,1,2,1,1,114706,3895,0,27122,1043,0,3,27
32,1,0,0,0,83938,3444,1,43969,14421,0,5,9
37,1,2,0,0,126106,3076,0,46817,24028,0,5,14
46,1,0,1,1,141776,2887,1,16401,28232,1,9,14
30,1,0,0,2,73388,1024,0,39869,21641,0,0,25
47,0,2,0,0,136354,3703,1,26560,6546,0,3,6
34,0,2,0,1,98808,2975,0,9826,19231,0,1,29
25,0,1,0,1,76173,1323,2,3851,29337,0,6,25
33,1,0,0,1,112335,2636,2,19895,24735,0,3,11
29,0,2,0,0,59576,1966,2,2901,16499,0,3,8
48,0,1,1,0,75902,4412,2,38696,4475,0,0,22
36,0,0,2,0,76130,3789,0,19161,10197,0,4,24
62,1,3,0,0,25512,3437,1,49345,1466,1,8,14
30,0,3,0,0,83447,3687,2,2841,19771,0,7,23
40,1,0,0,0,73963,4692,1,34053,3495,0,8,16
36,1,1,1,1,127788,4444,0,41825,1942,0,5,28
46,1,1,1,0,104806,4972,2,47381,1269,1,7,8
28,1,2,0,1,67933,1594,0,23309,13179,1,8,9
27,0,0,1,0,111334,4928,2,28057,7520,0,1,25
26,1,1,0,1,99270,3883,0,14504,13508,0,6,9
59,0,0,0,2,42620,4689,1,27323,20923,0,7,20
29,0,3,0,2,39883,2928,1,47837,19322,0,1,21
53,0,0,1,0,66047,849,0,42842,16363,0,9,26
39,1,0,0,0,140024,3496,1,30144,21141,1,7,28
38,0,1,2,0,56434,4714,1,44072,14797,0,9,28
37,0,3,1,0,88355,3157,0,39101,26645,0,8,28
41,0,0,1,0,138057,4469,1,49996,8323,0,2,27
46,0,1,0,0,51249,1891,2,20168,22824,0,0,5
