Age,Marital_Status,Dependents,Education,Annual_Income,Total_Existing_Loan_Amount,Credit_Score,Outstanding_Debt,Residential_Status,Loan_Approval_Status
25,married,2,graduate,139901,10942,743,19822,own,1
36,married,2,high school,21162,48731,468,18321,own,0
43,single,0,postgraduate,27815,6925,389,13851,own,0
28,married,0,high school,137853,42016,778,28608,rent,1
32,single,0,graduate,81753,31747,752,8780,rent,1
49,single,2,postgraduate,149372,2635,793,4453,own,1
41,married,0,high school,123266,15843,707,28872,own,1
52,single,2,postgraduate,59889,12436,349,29440,own,0
27,single,1,graduate,121626,9919,803,13940,rent,0
61,single,3,postgraduate,38330,4325,599,19381,own,1
32,married,3,postgraduate,54670,28940,772,22104,rent,1
38,married,2,postgraduate,45368,4949,311,24498,rent,0
54,married,3,graduate,39362,40843,332,9411,own,1
39,single,2,postgraduate,114706,27122,789,1043,rent,1
32,divorced,0,high school,83938,43969,756,14421,own,1
37,single,2,high school,126106,46817,826,24028,own,1
46,single,0,postgraduate,141776,16401,745,28232,rent,1
30,single,0,high school,73388,39869,821,21641,other,1
47,married,2,graduate,136354,26560,806,6546,own,1
34,married,2,postgraduate,98808,9826,843,19231,rent,1
25,married,1,graduate,76173,3851,752,29337,rent,0
33,single,0,graduate,112335,19895,815,24735,rent,0
29,married,2,postgraduate,59576,2901,748,16499,own,1
48,married,1,high school,75902,38696,808,4475,own,0
36,married,0,high school,76130,19161,808,10197,own,1
62,single,3,postgraduate,25512,49345,444,1466,own,1
30,married,3,graduate,83447,2841,794,19771,own,1
40,single,0,postgraduate,73963,34053,741,3495,own,1
36,single,1,high school,127788,41825,784,1942,rent,1
46,divorced,1,postgraduate,104806,47381,839,1269,own,1
28,divorced,2,high school,67933,23309,742,13179,rent,0
27,married,0,high school,111334,28057,842,7520,own,1
26,single,1,graduate,99270,14504,712,13508,rent,1
59,married,0,graduate,42620,27323,391,20923,other,0
29,married,3,graduate,39883,47837,510,19322,other,0
53,married,0,graduate,66047,42842,482,16363,own,0
39,single,0,high school,140024,30144,825,21141,own,1
38,married,1,high school,56434,44072,760,14797,own,1
37,married,3,postgraduate,88355,39101,752,26645,own,1
41,married,0,high school,138057,49996,726,8323,own,1
46,married,1,graduate,51249,20168,815,22824,own,1
47,single,2,postgraduate,67520,34107,843,5958,own,1
29,married,1,high school,122670,47607,723,19881,own,1
59,married,1,graduate,67367,40511,418,27294,own,0
34,married,1,graduate,134031,20736,812,28911,rent,0
41,married,3,graduate,116852,38210,741,17280,rent,0
43,married,1,graduate,122278,20248,828,5386,own,1
46,married,3,graduate,52600,32961,794,28914,own,1
47,single,3,high school,60103,35354,847,788,own,1
49,divorced,1,graduate,64215,20182,782,19492,own,0
61,single,1,postgraduate,24428,9292,548,17323,own,0
45,single,0,graduate,33432,17881,357,13599,own,0
19,married,2,graduate,32418,37560,587,22349,own,1
20,single,1,postgraduate,41190,41654,511,18678,other,0
39,single,3,graduate,63611,16021,846,285,rent,1
30,single,0,graduate,43060,17048,306,4879,own,0
28,single,0,high school,120324,41166,720,10525,own,1
45,married,1,graduate,126335,16291,756,14334,own,1
38,married,0,high school,143063,22407,788,10490,own,1
37,married,3,high school,106339,38747,827,3190,rent,0
31,married,1,high school,127737,29781,777,8134,other,1
38,married,2,high school,148537,15771,849,18477,rent,1
55,divorced,1,graduate,32920,35987,385,7125,own,0
29,married,3,postgraduate,64093,32765,807,4132,rent,1
37,married,0,graduate,104510,42942,772,21722,own,1
30,single,2,graduate,94133,31882,795,29162,own,1
41,single,2,graduate,122542,35412,744,9871,other,1
57,single,2,high school,57570,19301,473,13054,own,0
31,divorced,2,postgraduate,69760,12975,753,20200,own,0
63,single,2,high school,69578,19872,578,15772,own,0
52,single,3,high school,36908,32759,486,3811,other,0
42,married,1,high school,57231,48420,776,27872,own,1
49,single,1,postgraduate,73735,36627,795,22058,rent,1
38,married,0,graduate,32625,20021,393,11026,own,0
42,married,0,graduate,55882,33737,343,6135,own,1
48,single,3,postgraduate,43008,43328,364,177,rent,1
32,divorced,3,postgraduate,25233,29026,500,5905,rent,0
39,single,0,postgraduate,96440,24091,773,11162,own,1
49,single,2,postgraduate,109631,17351,744,1826,own,1
43,married,0,graduate,142307,23783,754,3183,rent,1
68,single,3,high school,37539,49896,336,19749,own,0
37,married,0,high school,129380,40693,783,4720,rent,1
38,married,2,graduate,149375,45074,817,1686,own,1
49,single,0,graduate,71260,19517,728,12570,own,1
43,single,1,high school,135220,43294,823,25786,own,1
47,married,1,high school,70684,5830,785,27409,rent,1
36,married,3,postgraduate,67283,3935,568,200,own,0
41,married,2,graduate,88507,4480,841,17424,other,1
61,married,0,high school,44493,27009,593,10449,rent,0
40,single,2,graduate,88124,19694,727,29696,rent,1
43,single,2,high school,131192,25467,823,23923,own,1
62,married,3,postgraduate,50569,39389,518,2280,own,0
27,married,0,postgraduate,57948,8069,561,17606,own,1
32,divorced,3,graduate,103775,32188,765,23664,other,0
66,married,3,high school,63742,26135,455,11287,own,0
37,married,0,high school,123775,3150,773,18475,own,1
26,single,2,graduate,56089,26096,823,9860,own,1
49,divorced,0,high school,102144,6393,770,20072,rent,1
36,single,1,postgraduate,118209,30979,796,3438,own,1
48,single,2,graduate,112560,318,802,3543,own,0
42,single,1,graduate,143783,33778,725,12932,own,1
43,married,1,high school,74599,32177,798,8876,own,1
48,married,1,graduate,52665,49387,793,20339,other,1
40,single,2,graduate,139214,44270,713,18648,own,0
37,married,1,graduate,57629,11317,432,15767,rent,0
26,married,0,postgraduate,108143,30703,708,17413,own,0
44,married,3,graduate,105508,15382,730,21345,own,1
55,single,2,high school,34907,2470,463,5040,own,1
38,married,2,graduate,96672,42088,709,1878,own,1
48,single,2,postgraduate,106180,5592,809,22604,own,1
27,single,3,postgraduate,126601,39783,833,17915,own,1
45,married,0,high school,87378,39599,773,29728,other,1
