Name,2021,Preceding Period,Year Ago from Period
Alabama,50495,45843,45843
Alaska,65608,61853,61853
Arizona,56963,52038,52038
Arkansas,52872,47100,47100
California,76887,70065,70065
Colorado,71676,64671,64671
Connecticut,81692,76779,76779
Delaware,59619,55497,55497
District of Columbia,97764,90691,90691
Florida,62238,56539,56539
Georgia,56079,51460,51460
Hawaii,61051,56995,56995
Idaho,55408,49607,49607
Illinois,66612,61542,61542
Indiana,57254,51736,51736
Iowa,58195,52621,52621
Kansas,59013,55100,55100
Kentucky,51769,47052,47052
Louisiana,54948,50133,50133
Maine,59168,54295,54295
Maryland,69032,64840,64840
Massachusetts,83703,77470,77470
Michigan,56898,52787,52787
Minnesota,67452,61327,61327
Mississippi,46906,42446,42446
Missouri,56630,52143,52143
Montana,58973,53487,53487
Nebraska,63517,56745,56745
Nevada,60775,54656,54656
New Hampshire,73672,67535,67535
New Jersey,76040,70430,70430
New Mexico,50682,46483,46483
New York,76040,70395,70395
North Carolina,57023,51779,51779
North Dakota,65975,60368,60368
Ohio,57330,52839,52839
Oklahoma,54492,50020,50020
Oregon,62379,56594,56594
Pennsylvania,63779,60245,60245
Rhode Island,62898,59250,59250
South Carolina,53220,48769,48769
South Dakota,67014,59422,59422
Tennessee,57491,51945,51945
Texas,60192,54795,54795
Utah,58183,51741,51741
Vermont,60807,58131,58131
Virginia,66971,61400,61400
Washington,73628,67619,67619
West Virginia,48792,44867,44867
Wisconsin,60449,55428,55428
Wyoming,70962,65094,65094
